Players,Values
Moise Kean,€24.00m 
Kaio Jorge,€7.00m 
Cosimo Marco Da Graca,€1.00m 
Mike Maignan,€35.00m 
Alessandro Plizzari,€800k 
Ciprian Tatarusanu,€600k 
Antonio Mirante,€300k 
Sebastiano Desplanches,€200k 
Andreas Jungdal,€150k 
Fikayo Tomori,€50.00m 
Pierre Kalulu,€28.00m 
Alessio Romagnoli,€17.00m 
Simon Kjaer,€6.00m 
Matteo Gabbia,€6.00m 
Luca Stanga,€150k 
Theo Hernández,€55.00m 
Fodé Ballo-Touré,€3.50m 
Davide Calabria,€25.00m 
Alessandro Florenzi,€5.50m 
Andrea Conti,€2.50m 
Sandro Tonali,€50.00m 
Ismaël Bennacer,€33.00m 
Tiemoué Bakayoko,€10.00m 
Franck Kessié,€45.00m 
Tommaso Pobega,€16.00m 
Rade Krunic,€9.00m 
Enrico Di Gesù,€150k 
Brahim Díaz,€18.00m 
Daniel Maldini,€2.00m 
Rafael Leão,€70.00m 
Ante Rebic,€17.00m 
Alexis Saelemaekers,€17.00m 
Junior Messias,€6.00m 
Samu Castillejo,€4.00m 
Pietro Pellegri,€4.50m 
Olivier Giroud,€3.50m 
Zlatan Ibrahimović,€3.00m 
Marko Lazetic,€3.00m 
Emil Roback,€100k 
Juan Musso,€18.00m 
Marco Sportiello,€1.50m 
Jacopo Sassi,€200k 
Matevz Dajcar,€150k 
Francesco Rossi,€100k 
Merih Demiral,€25.00m 
Berat Djimsiti,€17.00m 
Giorgio Scalvini,€10.00m 
Rafael Tolói,€8.00m 
José Luis Palomino,€7.50m 
Matteo Lovato,€7.00m 
Bosko Sutalo,€3.00m 
Giorgio Cittadini,€300k 
Joakim Maehle,€14.00m 
Giuseppe Pezzella,€5.00m 
Hans Hateboer,€13.00m 
Davide Zappacosta,€9.00m 
Enrico Del Prato,€2.00m 
Teun Koopmeiners,€25.00m 
Marten de Roon,€17.00m 
Simone Panada,€300k 
Remo Freuler,€20.00m 
Matteo Pessina,€16.00m 
Jacopo Da Riva,€1.30m 
Alassane Sidibe,€1.00m 
Samuel Giovane,€500k 
Federico Zuccon,€200k 
Andrea Oliveri,€400k 
Guillaume Renault,€350k 
Robin Gosens,€28.00m 
Ruslan Malinovskyi,€28.00m 
Mario Pasalic,€28.00m 
Aleksey Miranchuk,€10.00m 
Josip Ilicic,€1.00m 
Jérémie Boga,€19.00m 
Valentin Mihaila,€5.50m 
Bryan Cabezas,€300k 
Tommaso De Nipoti,€150k 
Duván Zapata,€28.00m 
Luis Muriel,€20.00m 
Roberto Piccoli,€4.00m 
Sam Lammers,€3.00m 
Moustapha Cissé,€1.00m 
Rui Patrício,€6.00m 
Daniel Fuzato,€800k 
Pietro Boer,€150k 
Roger Ibañez,€23.00m 
Gianluca Mancini,€21.00m 
Marash Kumbulla,€16.00m 
Chris Smalling,€8.00m 
Maissa Ndiaye,€400k 
Leonardo Spinazzola,€20.00m 
Matías Viña,€7.50m 
Riccardo Calafiori,€3.50m 
Davide Santon,€500k 
Rick Karsdorp,€13.00m 
Bryan Reynolds,€3.50m 
Bryan Cristante,€20.00m 
Jordan Veretout,€17.00m 
Amadou Diawara,€6.00m 
Ebrima Darboe,€2.00m 
Filippo Tripi,€300k 
Sérgio Oliveira,€12.00m 
Henrikh Mkhitaryan,€8.00m 
Gonzalo Villar,€5.00m 
Edoardo Bove,€1.10m 
Ainsley Maitland-Niles,€10.00m 
Nicola Zalewski,€12.00m 
Lorenzo Pellegrini,€45.00m 
Nicolò Zaniolo,€33.00m 
Cristian Volpato,€900k 
Stephan El Shaarawy,€6.00m 
Carles Pérez,€6.00m 
Tammy Abraham,€50.00m 
Borja Mayoral,€9.00m 
Eldor Shomurodov,€8.00m 
Felix Afena-Gyan,€6.00m 
Joel Voelkerling Persson,€600k 
Thomas Strakosha,€7.00m 
Pepe Reina,€700k 
Marius Adamonis,€150k 
Alessio Furlanetto,€50k 
Luiz Felipe,€16.00m 
Patric,€5.50m 
Francesco Acerbi,€4.00m 
Denis Vavro,€3.00m 
Dimitrije Kamenovic,€1.50m 
Stefan Radu,€600k 
Manuel Lazzari,€15.00m 
Adam Marusic,€7.50m 
Elseid Hysaj,€5.00m 
Romano Floriani,€75k 
Danilo Cataldi,€5.00m 
Lucas Leiva,€1.00m 
Patryk Dziczek,€500k 
Marco Bertini,€100k 
Sergej Milinković-Savić,€70.00m 
Luis Alberto,€28.00m 
Toma Basic,€8.00m 
Gonzalo Escalante,€2.50m 
Jean-Daniel Akpa Akpro,€2.00m 
André Anderson,€1.70m 
Mattia Zaccagni,€18.00m 
Jovane,€5.50m 
Raúl Moro,€2.80m 
Jony,€800k 
Felipe Anderson,€13.00m 
Pedro,€3.00m 
Luka Romero,€1.00m 
Ciro Immobile,€27.00m 
Vedat Muriqi,€7.00m 
Felipe Caicedo,€1.50m 
Bartlomiej Dragowski,€6.00m 
Pietro Terracciano,€1.50m 
Michele Cerofolini,€400k 
Antonio Rosati,€100k 
Nikola Milenkovic,€20.00m 
Igor,€14.00m 
Lucas Martínez Quarta,€12.00m 
Germán Pezzella,€5.00m 
Luca Ranieri,€2.50m 
Matija Nastasic,€1.50m 
Filippo Frison,€150k 
Cristiano Biraghi,€10.00m 
Aleksa Terzic,€1.50m 
Álvaro Odriozola,€12.00m 
Lorenzo Venuti,€3.00m 
Lucas Torreira,€20.00m 
Sofyan Amrabat,€10.00m 
Erick Pulgar,€6.50m 
Gaetano Castrovilli,€12.00m 
Alfred Duncan,€8.50m 
Youssef Maleh,€5.00m 
Giacomo Bonaventura,€3.00m 
Marco Benassi,€2.40m 
Alessandro Bianco,€350k 
Riccardo Saponara,€2.50m 
Vittorio Agostinelli,€100k 
Nicolás González,€25.00m 
Riccardo Sottil,€9.00m 
Jonathan Ikoné,€18.00m 
José Callejón,€1.00m 
Destiny Egharevba,€100k 
Aleksandr Kokorin,€800k 
Filippo Distefano,€300k 
Dusan Vlahovic,€85.00m 
Arthur Cabral,€14.00m 
Krzysztof Piatek,€12.00m 
Louis Munteanu,€350k 
Eljon Toci,€250k 
Marco Silvestri,€5.00m 
Simone Scuffet,€600k 
Daniele Padelli,€400k 
Manuel Gasparini,€200k 
Edoardo Piana,€50k 
Antonio Santurro,€50k 
Matteo Carnelos,€25k 
Nehuén Pérez,€6.00m 
Rodrigo Becão,€6.00m 
Samir Caetano,€5.00m 
Pablo Marí,€5.00m 
Bram Nuytinck,€3.50m 
Filip Benkovic,€1.80m 
Sebastien De Maio,€350k 
Nicolò Cocetta,€75k 
Destiny Udogie,€17.00m 
Marvin Zeegelaar,€800k 
Raed Jaziri,€25k 
Nahuel Molina,€20.00m 
Brandon Soppy,€5.00m 
Jens Stryger Larsen,€2.00m 
Lorenzo Codutti,€50k 
Walace,€5.00m 
Mato Jajalo,€400k 
Riccardo Castagnaviz,€75k 
Mattia Damiani,€50k 
Jean-Victor Makengo,€7.50m 
Roberto Pereyra,€6.50m 
Tolgay Arslan,€2.30m 
Martin Palumbo,€700k 
Riccardo Pinzi,€100k 
Marco Ballarini,€100k 
Jacopo Fedrizzi,€50k 
Lazar Samardžić,€3.50m 
Simone Ianesi,€125k 
Ignacio Pussetto,€3.00m 
Fernando Forestieri,€875k 
Gerard Deulofeu,€15.00m 
Beto,€10.00m 
Isaac Success,€3.00m 
Stefano Okaka,€2.90m 
Cristo González,€1.50m 
Ilija Nestorovski,€700k 
Andrea Consigli,€1.50m 
Giacomo Satalino,€200k 
Gioele Zacchi,€125k 
Samuele Vitale,€100k 
Gianluca Pegolo,€100k 
Gian Marco Ferrari,€7.00m 
Kaan Ayhan,€5.00m 
Ruan Tressoldi,€5.00m 
Vlad Chiriches,€1.80m 
Filippo Romagna,€1.50m 
Edoardo Goldaniga,€1.00m 
Rogério,€6.00m 
Georgios Kyriakopoulos,€5.00m 
Federico Peluso,€300k 
Edoardo Pieragnolo,€100k 
Mert Müldür,€7.00m 
Jeremy Toljan,€5.00m 
Maxime López,€15.00m 
Francesco Magnanelli,€400k 
Davide Frattesi,€20.00m 
Matheus Henrique,€11.00m 
Abdou Harroui,€3.00m 
Pedro Obiang,€1.00m 
Christian Aucelli,€150k 
Salim Abubakar,€100k 
Yeferson Paz,€200k 
Hamed Junior Traorè,€22.00m 
Filip Djuricic,€4.00m 
Jérémie Boga,€19.00m 
Emil Konradsen Ceide,€2.00m 
Lukas Haraslin,€1.70m 
Riccardo Ciervo,€1.50m 
Asan Mata,€75k 
Domenico Berardi,€35.00m 
Brian Oddei,€900k 
Giacomo Raspadori,€28.00m 
Gianluca Scamacca,€30.00m 
Luca Moro,€3.50m 
Grégoire Defrel,€3.00m 
Francesco Caputo,€2.50m 
Luigi Samele,€250k 
Vanja Milinković-Savić,€2.50m 
Etrit Berisha,€800k 
Luca Gemello,€300k 
Alberto Milan,€100k 
Bremer,€35.00m 
David Zima,€7.00m 
Alessandro Buongiorno,€4.00m 
Ricardo Rodríguez,€3.40m 
Koffi Djidji,€3.00m 
Armando Izzo,€2.80m 
Andrei Anton,€75k 
Cristian Ansaldi,€700k 
Samuele Angori,€200k 
Stephane Singo,€15.00m 
Mërgim Vojvoda,€5.50m 
Ola Aina,€3.50m 
Samuele Ricci,€12.00m 
Rolando Mandragora,€10.00m 
Tomás Rincón,€1.00m 
Tommaso Pobega,€16.00m 
Sasa Lukic,€15.00m 
Dennis Praet,€13.00m 
Karol Linetty,€3.50m 
Jacopo Segre,€1.60m 
Daniele Baselli,€1.40m 
Ben Lhassine Kone,€450k 
Matthew Garbett,€150k 
Mohamed Fares,€4.00m 
Simone Verdi,€5.00m 
Dennis Stojkovic,€200k 
Josip Brekalo,€15.00m 
Marko Pjaca,€3.50m 
Magnus Warming,€900k 
Demba Seck,€3.00m 
Simone Edera,€500k 
Andrea Belotti,€20.00m 
Antonio Sanabria,€7.50m 
Pietro Pellegri,€4.50m 
Simone Zaza,€1.00m 
Nicola Rauti,€300k 
Lado Akhalaia,€25k 
Lukasz Skorupski,€4.00m 
Francesco Bardi,€600k 
Marco Molla,€100k 
Arthur Theate,€15.00m 
Adama Soumaoro,€4.00m 
Kevin Bonifazi,€3.80m 
Luis Binks,€1.50m 
Gabriele Corbo,€700k 
Omar Khailoti,€100k 
Mitchell Dijks,€2.00m 
Ebenezer Annan,€200k 
Takehiro Tomiyasu,€25.00m 
Aaron Hickey,€18.00m 
Denso Kasius,€2.00m 
Lorenzo De Silvestri,€1.50m 
Ibrahima Mbaye,€700k 
Jerdy Schouten,€9.00m 
Gary Medel,€1.00m 
Kacper Urbanski,€200k 
Mattias Svanberg,€15.00m 
Nicolás Domínguez,€13.00m 
Michel Aebischer,€3.50m 
Nicolas Viola,€600k 
Andri Fannar Baldursson,€600k 
Kingsley Michael,€400k 
Niklas Pyyhtiä,€400k 
Roberto Soriano,€5.00m 
Luis Rojas,€1.00m 
Musa Barrow,€18.00m 
Nicola Sansone,€2.00m 
Gianmarco Cangiano,€800k 
Musa Juwara,€600k 
Andreas Skov Olsen,€12.00m 
Riccardo Orsolini,€10.00m 
Emanuel Vignato,€5.00m 
Marko Arnautovic,€6.00m 
Sydney van Hooijdonk,€1.30m 
Diego Falcinelli,€800k 
Federico Santander,€600k 
Mattia Pagliuca,€200k 
Michele Di Gregorio,€3.80m 
Eugenio Lamanna,€200k 
Daniele Sommariva,€100k 
Stefano Rubbi,€75k 
Gianluca Ravarelli,€10k 
Lorenzo Pirola,€2.20m 
Davide Bettella,€2.00m 
Luca Caldirola,€1.00m 
Valentin Antov,€800k 
Luca Marrone,€400k 
Giuseppe Bellusci,€350k 
Gabriel Paletta,€200k 
Carlos Augusto,€4.50m 
Pedro Pereira,€2.30m 
Giulio Donati,€600k 
Mario Sampirisi,€600k 
Luca Mazzitelli,€2.40m 
Andrea Barberis,€1.50m 
Antonis Siatounis,€450k 
Matteo Scozzarella,€300k 
Andrea Colpani,€2.40m 
Mattia Valoti,€2.00m 
José Machín,€1.70m 
Marco Brescianini,€350k 
Antonino Barillà,€300k 
Salvatore Molina,€1.10m 
Gastón Ramírez,€900k 
Samuele Vignato,€600k 
Patrick Ciurria,€1.60m 
Marco D'Alessandro,€1.10m 
Dany Mota,€6.00m 
Leonardo Mancuso,€2.70m 
Andrea Favilli,€1.50m 
Christian Gytkjaer,€1.40m 
Mattia Finotto,€300k 
Luigi Sepe,€1.40m 
Vid Belec,€500k 
Vincenzo Fiorillo,€300k 
Antonio Russo,€100k 
Guido Guerrieri,€75k 
Jacopo De Matteis,€50k 
Radu Dragusin,€3.50m 
Luca Ranieri,€2.50m 
Norbert Gyomber,€1.00m 
Luka Bogdan,€850k 
Riccardo Gagliolo,€800k 
Federico Fazio,€600k 
Stefan Strandberg,€500k 
Frédéric Veseli,€400k 
Filippo Delli Carri,€350k 
Ramzi Aya,€250k 
Andrei Motoc,€100k 
Mario Perrone,€75k 
Matteo Ruggeri,€2.00m 
Pasquale Mazzocchi,€1.50m 
Nadir Zortea,€1.40m 
Wajdi Kechrida,€800k 
Ivan Radovanovic,€600k 
Andrea Schiavone,€400k 
Francesco Di Tacchio,€400k 
Éderson,€13.00m 
Emil Bohinen,€4.00m 
Lassana Coulibaly,€3.00m 
Mamadou Coulibaly,€2.50m 
Grigoris Kastanos,€1.50m 
Leonardo Capezzi,€600k 
Joel Obi,€500k 
Alessandro Russo,€100k 
Antonio Pio Iervolino,€50k 
Sedrick Kalombo,€150k 
Pawel Jaroszynski,€600k 
Simone Verdi,€5.00m 
Franck Ribéry,€1.00m 
Diego Perotti,€500k 
Lys Mousset,€6.00m 
Federico Bonazzoli,€5.00m 
Mikael,€2.00m 
Simy,€1.50m 
Milan Djuric,€1.50m 
Cedric Gondo,€700k 
Edoardo Vergani,€600k 
Julian Kristoffersen,€200k 
Angelo Guida,€75k 
Carmine Iannone,€25k 
Lorenzo Cannavale,€10k 
Gabriel,€1.50m 
Alessandro Plizzari,€800k 
Marco Bleve,€200k 
Alexandru Borbei,€150k 
Jasper Samooja,€75k 
Alessandro Tuia,€900k 
Kastriot Dermaku,€800k 
Fabio Lucioni,€600k 
Lorenco Simic,€600k 
Brynjar Ingi Bjarnason,€400k 
Biagio Meccariello,€250k 
Ilario Monterisi,€225k 
Emin Hasić,€75k 
Antonio Barreca,€1.50m 
Antonino Gallo,€1.00m 
Brayan Vera,€400k 
Valentin Gendrey,€1.70m 
Arturo Calabresi,€1.50m 
Romario Benzar,€250k 
Morten Hjulmand,€6.50m 
Alexis Blin,€2.20m 
Mario Gargiulo,€1.70m 
Zan Majer,€1.70m 
Paolo Faragò,€1.00m 
John Björkengren,€800k 
Thórir Jóhann Helgason,€700k 
Joan González,€250k 
Marcin Listkowski,€400k 
Francesco Di Mariano,€2.00m 
Marco Olivieri,€1.00m 
Antonino Ragusa,€400k 
Mattia Felici,€75k 
Gabriel Strefezza,€6.50m 
Luca Paganini,€400k 
Pablo Rodríguez,€2.00m 
Massimo Coda,€1.50m 
Raúl Asencio,€250k 
Guglielmo Vicario,€10.00m 
Alberto Brignoli,€1.20m 
Jacopo Furlan,€300k 
Samir Ujkani,€200k 
Klemen Hvalic,€100k 
Valerio Biagini,€75k 
Mattia Viti,€7.00m 
Sebastiano Luperto,€3.00m 
Ardian Ismajli,€1.80m 
Simone Canestrelli,€1.00m 
Simone Romagnoli,€1.00m 
Lorenzo Tonelli,€1.00m 
Leonardo Pezzola,€125k 
Fabiano Parisi,€4.50m 
Liberato Cacace,€2.50m 
Riccardo Marchizza,€2.00m 
Alessio Rizza,€150k 
Petar Stojanovic,€3.00m 
Riccardo Fiamozzi,€500k 
Samuele Ricci,€12.00m 
Kristjan Asllani,€10.00m 
Leo Stulac,€2.20m 
Duccio Degli Innocenti,€500k 
Samuele Damiani,€250k 
Szymon Zurkowski,€7.00m 
Filippo Bandinelli,€3.00m 
Nicolas Haas,€3.00m 
Liam Henderson,€2.80m 
Marco Benassi,€2.40m 
Giovanni Crociata,€550k 
Jacopo Fazzini,€250k 
Nedim Bajrami,€10.00m 
Valerio Verre,€2.50m 
Tommaso Baldanzi,€800k 
Federico Di Francesco,€2.00m 
Andrea Pinamonti,€20.00m 
Patrick Cutrone,€3.50m 
Leonardo Mancuso,€2.70m 
Andrea La Mantia,€1.30m 
Emmanuel Ekong,€300k 
Lorenzo Montipò,€4.50m 
Ivor Pandur,€1.00m 
Mattia Chiesa,€100k 
Kaur Kivila,€75k 
Alessandro Berardi,€50k 
Nicola Borghetto,€25k 
Nicolò Casale,€7.50m 
Koray Günter,€5.00m 
Pawel Dawidowicz,€4.50m 
Federico Ceccherini,€4.00m 
Giangiacomo Magnani,€3.60m 
Bosko Sutalo,€3.00m 
Panagiotis Retsos,€2.80m 
Bruno Amione,€2.00m 
Mert Cetin,€1.70m 
Diego Coppola,€1.00m 
Gianluca Frabotta,€2.00m 
Davide Faraoni,€5.00m 
Fabio Depaoli,€2.80m 
Kevin Rüegg,€1.20m 
Adrien Tamèze,€10.00m 
Martin Hongla,€4.00m 
Miguel Veloso,€900k 
Ivan Ilic,€14.00m 
Daniel Bessa,€2.50m 
Christian Pierobon,€125k 
Mattia Turra,€50k 
Filippo Terracciano,€250k 
Darko Lazovic,€4.00m 
Antonin Barak,€20.00m 
Mateusz Praszelik,€1.40m 
Mattia Zaccagni,€18.00m 
Antonino Ragusa,€400k 
Matteo Cancellieri,€3.00m 
Gianluca Caprari,€10.00m 
Mattia Florio,€150k 
Giovanni Simeone,€17.00m 
Kevin Lasagna,€3.50m 
Nikola Kalinic,€800k 
Samuel Di Carmine,€600k 
David Flakus Bosilj,€450k 
Adrian Semper,€1.50m 
Salvatore Sirigu,€1.50m 
Lorenzo Andrenacci,€100k 
Federico Marchetti,€100k 
Rok Vodisek,€50k 
Zinho Vanheusden,€8.00m 
Leo Östigard,€5.00m 
Johan Vásquez,€4.00m 
Nikola Maksimovic,€2.50m 
Mattia Bani,€1.80m 
Andrea Masiello,€400k 
Laurens Serpe,€175k 
Andrea Cambiaso,€5.00m 
Riccardo Calafiori,€3.50m 
Lennart Czyborra,€2.30m 
Domenico Criscito,€600k 
Silvan Hefti,€5.00m 
Davide Biraschi,€2.00m 
Paolo Ghiglione,€2.00m 
Stefano Sabelli,€1.50m 
Nicolò Rovella,€10.00m 
Abdoulaye Touré,€2.50m 
Milan Badelj,€1.00m 
Valon Behrami,€300k 
Nadiem Amiri,€8.00m 
Morten Frendrup,€3.70m 
Stefano Sturaro,€3.00m 
Hernani,€3.00m 
Pablo Galdames,€3.00m 
Manolo Portanova,€2.50m 
Filippo Melegoni,€2.00m 
Francesco Cassata,€900k 
Steeve-Mike Eyango,€150k 
Mohamed Fares,€4.00m 
Kevin Agudelo,€3.50m 
Albert Gudmundsson,€2.40m 
Yayah Kallon,€1.50m 
Goran Pandev,€400k 
Kelvin Yeboah,€5.00m 
Roberto Piccoli,€4.00m 
Eddie Salcedo,€3.50m 
Mattia Destro,€3.00m 
Caleb Ekuban,€1.80m 
Felipe Caicedo,€1.50m 
Andrea Favilli,€1.50m 
Aleksander Buksa,€1.20m 
Flavio Bianchi,€900k 
Alessio Cragno,€10.00m 
Boris Radunović,€400k 
Andrea D'Aniello,€200k 
Simone Aresti,€100k 
Eugenio Fusco,€25k 
Matteo Lovato,€7.00m 
Sebastian Walukiewicz,€5.00m 
Andrea Carboni,€5.00m 
Giorgio Altare,€2.00m 
Diego Godín,€1.00m 
Edoardo Goldaniga,€1.00m 
Martín Cáceres,€900k 
Adam Obert,€900k 
Luca Ceppitelli,€800k 
Luigi Palomba,€200k 
Iurie Iovu,€100k 
Dalbert,€2.50m 
Charalampos Lykogiannis,€2.20m 
Raoul Bellanova,€7.00m 
Gabriele Zappa,€3.80m 
Alberto Grassi,€2.50m 
Christian Oliva,€1.50m 
Riccardo Ladinetti,€200k 
Nahitan Nández,€13.00m 
Razvan Marin,€12.00m 
Marko Rog,€6.00m 
Alessandro Deiola,€2.00m 
Kevin Strootman,€1.50m 
Daniele Baselli,€1.40m 
Paolo Faragò,€1.00m 
Christos Kourfalidis,€700k 
Gastón Pereiro,€3.00m 
Nicolò Cavuoti,€250k 
Isaías Delpupo,€200k 
Diego Farias,€1.00m 
Jacopo Desogus,€500k 
Zito Luvumbo,€800k 
Lisandru Tramoni,€400k 
Giovanni Simeone,€17.00m 
João Pedro,€12.00m 
Keita Baldé,€3.00m 
Alberto Cerri,€2.00m 
Leonardo Pavoletti,€1.60m 
Damir Ceter,€600k 
Luca Gagliano,€250k 
Federico Ravaglia,€500k 
Stefano Minelli,€400k 
Victor De Lucia,€275k 
Giuseppe Marcianò,€50k 
Federico Gatti,€5.00m 
Adrian Leon Barisic,€900k 
Przemyslaw Szyminski,€800k 
Nicolò Brighenti,€200k 
Sergio Kalaj,€150k 
Luka Koblar,€125k 
Alessio Maestrelli,€100k 
Federico Bevilacqua,€75k 
Milan Kremenovic,€75k 
Matteo Cotali,€600k 
Lukas Klitten,€250k 
Salvatore D'Elia,€50k 
Tiago Casasola,€1.00m 
Francesco Zampano,€800k 
Anthony Oyono,€300k 
Matteo Ricci,€3.00m 
Raffaele Maiello,€850k 
Daniel Boloca,€1.10m 
Karlo Lulic,€900k 
Marcus Rohdén,€400k 
Mirko Gori,€250k 
Mattia Vitale,€175k 
Andrea Tabanelli,€100k 
Marko Bozic,€350k 
Luca Garritano,€1.50m 
Alessio Tribuzzi,€400k 
Alessio Zerbin,€2.50m 
Emanuele Cicerelli,€500k 
Giacomo Manzari,€150k 
Hamza Haoudi,€100k 
Luigi Canotto,€800k 
Gabriel Charpentier,€3.50m 
Andrija Novakovich,€1.00m 
Pietro Iemmello,€750k 
Camillo Ciano,€500k 
Alexander Satariano,€150k 
Simone Stampete,€100k 
