,Player,Age,League,Club,Position,Value,Overall,Shooting,Passing,Dribbling,Defending,Physical
43,Rafael Leao,23,Serie A,AC Milan,Attack,20000000.0,87.64,87.62,79.43,94.39,45.26,89.1
44,Marcus Rashford,24,Premier League,Manchester United,Attack,20000000.0,83.74,88.8,69.29,88.8,46.49,88.08
45,Cheick Doucoure,22,Premier League,Crystal Palace,midfield,20000000.0,77.17,74.68,62.56,79.67,64.35,90.0
46,Kylian Mbappe,23,Ligue 1,Paris Saint-Germain,Attack,20000000.0,86.3,90.13,77.61,91.75,42.61,85.7
47,Sofyan Amrabat,25,Serie A,ACF Fiorentina,midfield,20000000.0,65.67,63.31,54.99,68.05,49.49,76.34
48,Pedri,19,La Liga,FC Barcelona,midfield,20000000.0,66.95,71.36,63.61,66.85,38.56,65.97
49,Phil Foden,22,Premier League,Manchester City,Attack,20000000.0,81.59,84.35,76.61,85.38,43.35,80.01
50,Ronald Araujo,23,La Liga,FC Barcelona,Defender,20000000.0,69.15,37.92,70.69,45.2,83.69,77.01
51,Dayot Upamecano,23,Bundesliga,Bayern Munich,Defender,20000000.0,74.86,50.54,73.65,58.85,91.15,75.79
52,Jeremie Frimpong,21,Bundesliga,Bayer 04 Leverkusen,Defender,20000000.0,80.36,69.36,67.64,80.37,85.14,86.58
53,Lisandro Martinez,24,Premier League,Manchester United,Defender,18000000.0,71.25,51.07,70.22,54.38,70.22,90.19
54,Piero Hincapie,20,Bundesliga,Bayer 04 Leverkusen,Defender,18000000.0,76.23,55.05,72.76,60.8,90.26,81.08
55,Eberechi Eze,24,Premier League,Crystal Palace,midfield,18000000.0,92.2,92.29,82.02,97.95,56.03,96.56
56,Nico Williams,20,La Liga,Athletic Bilbao,Attack,18000000.0,85.41,85.41,73.74,91.27,54.63,91.21
57,Perr Schuurs,22,Serie A,Torino FC,Defender,18000000.0,79.57,52.38,83.78,61.02,96.78,76.72
58,Kevin Schade,20,Premier League,Brentford FC,Attack,18000000.0,44.81,38.63,45.98,49.89,28.5,44.73
59,Mathys Tel,17,Bundesliga,Bayern Munich,Attack,18000000.0,56.39,61.54,52.3,57.41,28.5,54.32
60,Anthony Gordon,21,Premier League,Newcastle United,Attack,18000000.0,39.26,42.05,33.69,38.33,28.52,42.98
61,Takefusa Kubo,21,La Liga,Real Sociedad,Attack,17500000.0,83.67,85.5,72.26,87.84,51.11,89.07
62,Jacob Ramsey,21,Premier League,Aston Villa,midfield,17000000.0,82.91,86.92,69.74,85.02,62.5,89.95
63,Alex Baena,21,La Liga,Villarreal CF,midfield,17000000.0,83.93,83.32,74.77,86.99,48.57,90.62
64,Federico Dimarco,24,Serie A,Inter Milan,Defender,17000000.0,83.3,61.97,80.91,75.49,93.91,82.88
65,Bradley Barcola,19,Ligue 1,Olympique Lyon,Attack,17000000.0,62.7,67.4,53.3,64.41,34.9,65.7
66,Nathan Ake,27,Premier League,Manchester City,Defender,17000000.0,78.66,49.72,81.37,53.28,94.37,85.63
67,Oleksandr Zinchenko,25,Premier League,Arsenal FC,Defender,17000000.0,70.48,48.91,62.48,57.96,72.48,88.98
68,Michael Olise,20,Premier League,Crystal Palace,Attack,16000000.0,89.23,84.07,83.46,94.85,58.06,94.53
69,Joe Willock,22,Premier League,Newcastle United,midfield,16000000.0,81.47,80.15,71.1,85.78,57.02,88.86
70,Miguel Almiron,28,Premier League,Newcastle United,Attack,16000000.0,81.39,84.59,67.92,87.04,51.64,86.0
71,Marcus Edwards,23,Primeira Liga,Sporting CP,Attack,15000000.0,83.14,80.29,79.41,89.73,40.6,83.14
72,Florian Wirtz,19,Bundesliga,Bayer 04 Leverkusen,midfield,15000000.0,49.99,43.67,60.68,52.38,31.97,43.25
73,Joao Palhinha,27,Premier League,Fulham FC,midfield,15000000.0,86.94,81.38,56.21,78.56,93.54,94.29
74,Pedro Porro,22,Premier League,Tottenham Hotspur,Defender,15000000.0,71.42,26.16,75.4,38.61,88.4,83.28
75,Sven Botman,22,Premier League,Newcastle United,Defender,15000000.0,81.56,63.34,76.38,72.45,86.38,91.03
76,Nahuel Molina,24,La Liga,Atlético de Madrid,Defender,15000000.0,78.96,65.95,74.02,71.48,84.02,86.32
77,Beto,24,Serie A,Udinese Calcio,Attack,15000000.0,75.7,81.83,59.37,79.01,40.93,82.58
78,Youssoufa Moukoko,17,Bundesliga,Borussia Dortmund,Attack,15000000.0,62.49,68.54,51.21,65.89,33.89,64.35
79,Jonathan David,22,Ligue 1,LOSC Lille,Attack,15000000.0,87.85,93.5,73.5,90.39,48.95,94.02
80,Ben White,24,Premier League,Arsenal FC,Defender,15000000.0,82.79,75.0,76.98,79.85,76.98,97.34
81,Oihan Sancet,22,La Liga,Athletic Bilbao,midfield,15000000.0,85.62,87.92,74.47,88.0,47.14,92.08
82,Salis Abdul Samed,22,Ligue 1,RC Lens,midfield,15000000.0,75.27,76.45,58.07,75.96,63.2,85.49
83,Julian Brandt,26,Bundesliga,Borussia Dortmund,midfield,15000000.0,82.16,82.75,80.37,84.75,43.51,80.75
84,Desire Doue,17,Ligue 1,Stade Rennais FC,midfield,14600000.0,62.64,64.19,55.85,63.67,41.12,66.85
85,Mats Wieffer,22,Eredivisie,Feyenoord Rotterdam,midfield,14600000.0,61.28,56.45,59.67,63.6,48.23,65.39
86,Nicolo Casale,24,Serie A,SS Lazio,Defender,14500000.0,74.75,55.91,68.33,58.07,78.33,94.3
87,Milos Kerkez,18,Eredivisie,AZ Alkmaar,Defender,14300000.0,71.49,63.14,65.0,71.24,64.73,84.98
88,Tommaso Baldanzi,19,Serie A,FC Empoli,midfield,14200000.0,62.75,63.67,57.11,65.05,34.21,65.16
89,Max Kilman,25,Premier League,Wolverhampton Wanderers,Defender,14000000.0,77.53,64.93,66.1,74.41,76.1,93.5
90,Enzo Le Fee,22,Ligue 1,Stade Rennais FC,midfield,14000000.0,83.98,83.66,75.14,86.27,64.97,90.85
91,Andre Silva,26,Bundesliga,RB Leipzig,Attack,13800000.0,72.96,72.66,64.51,77.06,38.72,77.59
92,Orkun Kokcu,21,Primeira Liga,SL Benfica,midfield,13000000.0,83.98,76.32,89.83,88.23,48.01,81.51
93,Bryan Mbeumo,22,Premier League,Brentford FC,Attack,13000000.0,88.39,91.15,73.6,92.85,47.45,95.96
94,Edson Alvarez,24,Eredivisie,Ajax Amsterdam,midfield,13000000.0,76.09,71.35,58.74,73.1,78.75,81.15
95,Danilho Doekhi,24,Bundesliga,1.FC Union Berlin,Defender,13000000.0,78.19,56.0,80.5,50.7,93.5,82.77
96,Malo Gusto,19,Premier League,Chelsea FC,Defender,13000000.0,75.61,36.23,84.3,47.37,97.3,73.49
97,Kevin Danso,23,Ligue 1,RC Lens,Defender,13000000.0,75.03,66.74,62.7,75.79,60.36,94.87
98,Axel Disasi,24,Ligue 1,AS Monaco,Defender,13000000.0,76.48,71.68,61.3,76.87,54.23,96.06
99,Boulaye Dia,25,Serie A,US Salernitana 1919,Attack,13000000.0,78.71,91.17,61.68,79.2,40.23,82.79
100,Lutsharel Geertruida,22,Eredivisie,Feyenoord Rotterdam,Defender,13000000.0,65.51,57.75,60.08,64.84,61.2,75.93
101,Felix Nmecha,21,Bundesliga,Borussia Dortmund,midfield,13000000.0,69.79,70.23,60.11,72.32,48.41,76.51
102,Ben Davies,29,Premier League,Tottenham Hotspur,Defender,12500000.0,80.95,60.12,83.94,64.52,96.94,78.39
103,Tijjani Reijnders,24,Eredivisie,AZ Alkmaar,midfield,12500000.0,83.6,77.72,80.53,88.12,47.9,88.03
104,Nathan Collins,21,Premier League,Brentford FC,Defender,12000000.0,79.94,45.09,84.15,51.98,97.15,86.49
105,Rayan Cherki,18,Ligue 1,Olympique Lyon,midfield,12000000.0,87.22,79.32,90.49,93.71,44.31,85.37
106,Marcus Thuram,24,Serie A,Inter Milan,Attack,12000000.0,71.27,76.24,57.92,74.98,40.41,75.95
107,Cristian Romero,24,Premier League,Tottenham Hotspur,Defender,12000000.0,77.13,46.97,75.6,54.96,85.6,92.36
108,John Stones,28,Premier League,Manchester City,Defender,12000000.0,71.09,47.34,73.21,46.83,86.21,77.59
109,Mathias Jensen,26,Premier League,Brentford FC,midfield,12000000.0,88.61,93.12,76.21,89.89,60.09,95.23
110,Noni Madueke,20,Premier League,Chelsea FC,Attack,12000000.0,32.69,29.85,37.39,34.35,26.19,29.18
111,Mattia Zaccagni,27,Serie A,SS Lazio,Attack,12000000.0,82.41,86.86,68.01,85.13,49.25,89.64
112,Sean Longstaff,24,Premier League,Newcastle United,midfield,12000000.0,74.59,74.07,62.84,77.99,50.89,83.49
113,Cole Palmer,20,Premier League,Manchester City,midfield,12000000.0,39.32,29.6,51.72,41.91,23.02,34.06
114,Rodrigo Bentancur,25,Premier League,Tottenham Hotspur,midfield,12000000.0,49.55,56.75,39.5,44.03,47.0,50.44
115,Neco Williams,21,Premier League,Nottingham Forest,Defender,12000000.0,78.6,56.11,78.9,65.42,88.9,81.18
116,Sael Kumbedi,17,Ligue 1,Olympique Lyon,Defender,11800000.0,51.62,34.38,40.46,42.96,49.63,73.41
117,Kenny Tete,26,Premier League,Fulham FC,Defender,11000000.0,77.78,57.61,82.21,65.42,82.21,81.3
118,Armand Lauriente,23,Serie A,US Sassuolo,Attack,11000000.0,72.26,68.82,70.02,76.79,39.03,73.42
119,Angel Gomes,21,Ligue 1,LOSC Lille,midfield,11000000.0,83.21,80.93,71.72,88.13,51.72,92.07
120,Terem Moffi,23,Ligue 1,OGC Nice,Attack,11000000.0,43.54,43.96,44.78,45.38,20.54,40.05
121,Ibrahim Sangare,24,Eredivisie,PSV Eindhoven,midfield,11000000.0,68.36,70.94,58.4,69.49,57.05,74.61
122,Jesper Lindstrom,22,Bundesliga,Eintracht Frankfurt,midfield,11000000.0,66.54,68.82,58.31,71.06,36.62,67.97
123,Facundo Medina,23,Ligue 1,RC Lens,Defender,11000000.0,66.62,60.68,58.02,66.37,46.03,81.43
124,Lazar Samardzic,20,Serie A,Udinese Calcio,midfield,10500000.0,90.33,87.57,85.42,94.02,52.7,94.32
125,Andreas Pereira,26,Premier League,Fulham FC,midfield,10500000.0,79.25,76.42,74.48,82.39,42.29,83.73
126,Kiliann Sildillia,20,Bundesliga,SC Freiburg,Defender,10500000.0,71.85,46.89,61.8,56.72,79.3,89.59
127,Alex Iwobi,26,Premier League,Everton FC,midfield,10000000.0,88.31,86.69,77.08,92.27,66.61,97.19
128,Sheraldo Becker,27,Bundesliga,1.FC Union Berlin,Attack,10000000.0,80.69,84.84,68.87,83.68,40.99,85.37
129,Jamie Bynoe-Gittens,17,Bundesliga,Borussia Dortmund,Attack,10000000.0,41.64,39.94,43.15,46.89,20.04,36.6
130,Lautaro Martinez,24,Serie A,Inter Milan,Attack,10000000.0,90.04,95.65,75.05,93.38,48.15,96.08
131,Benoit Badiashile,21,Premier League,Chelsea FC,Defender,10000000.0,60.53,35.01,60.55,21.14,73.55,73.0
132,Fabio Miretti,18,Serie A,Juventus FC,midfield,10000000.0,64.41,58.87,62.08,68.85,41.19,67.84
133,Fran Navarro,24,Primeira Liga,FC Porto,Attack,10000000.0,77.6,86.41,57.57,80.53,43.56,85.89
134,Jacob Murphy,27,Premier League,Newcastle United,Attack,10000000.0,84.73,86.78,73.11,88.55,47.09,90.47
135,Martin Zubimendi,23,La Liga,Real Sociedad,midfield,10000000.0,80.36,83.12,62.49,82.74,60.39,93.11
136,Benjamin Pavard,26,Bundesliga,Bayern Munich,Defender,10000000.0,75.07,58.01,79.37,62.46,79.37,79.06
137,Dejan Kulusevski,22,Premier League,Tottenham Hotspur,Attack,10000000.0,73.5,68.63,70.05,79.31,45.28,76.02
138,Declan Rice,23,Premier League,West Ham United,midfield,10000000.0,85.65,87.46,71.87,87.87,69.73,95.43
139,Rodri,26,Premier League,Manchester City,midfield,10000000.0,83.14,81.68,71.97,86.68,60.76,92.22
140,Arnau Martinez,19,La Liga,Girona FC,Defender,10000000.0,78.96,64.14,74.48,70.93,84.48,85.95
141,Jean-Clair Todibo,22,Ligue 1,OGC Nice,Defender,10000000.0,75.06,59.65,54.85,68.52,83.11,88.96
142,Matheus Nunes,23,Premier League,Wolverhampton Wanderers,midfield,10000000.0,28.05,30.14,27.73,26.56,27.75,6.3
143,Lucas Paqueta,24,Premier League,West Ham United,midfield,10000000.0,68.0,65.26,62.5,71.08,53.28,73.17
144,Eder Militao,24,La Liga,Real Madrid,Defender,10000000.0,80.4,67.73,79.91,66.71,89.91,84.07
145,Darwin Nunez,23,Premier League,Liverpool FC,Attack,10000000.0,68.62,71.61,59.18,70.66,36.24,73.04
146,Niclas Fullkrug,29,Bundesliga,SV Werder Bremen,Attack,10000000.0,67.09,72.67,57.1,68.44,34.76,70.14
147,Valentin Rongier,27,Ligue 1,Olympique Marseille,midfield,10000000.0,83.26,81.69,66.54,84.5,72.68,94.16
148,Luis Diaz,25,Premier League,Liverpool FC,Attack,10000000.0,46.36,45.24,47.43,50.21,32.68,42.58
149,Ritsu Doan,24,Bundesliga,SC Freiburg,Attack,10000000.0,77.02,78.42,63.84,81.27,56.42,84.57
150,Fares Chaibi,19,Ligue 1,FC Toulouse,Attack,9950000.0,82.68,84.5,68.87,86.54,50.96,90.79
151,Leny Yoro,16,Ligue 1,LOSC Lille,Defender,9850000.0,36.88,21.64,22.36,25.52,23.17,76.46
152,James Garner,21,Premier League,Everton FC,midfield,9000000.0,37.7,34.12,36.68,39.52,32.61,40.49
153,Julian Ryerson,24,Bundesliga,Borussia Dortmund,Defender,9000000.0,72.87,22.07,84.44,30.75,97.44,78.84
154,Eddie Nketiah,23,Premier League,Arsenal FC,Attack,9000000.0,69.07,71.6,57.2,72.44,36.63,75.04
155,Edoardo Bove,20,Serie A,AS Roma,midfield,8900000.0,50.72,54.69,41.28,50.76,40.95,56.14
156,Mike Eerdhuijzen,22,Eredivisie,Sparta Rotterdam,Defender,8675000.0,57.74,43.29,46.34,52.37,48.39,83.85
157,Shawn Adewoye,22,Eredivisie,RKC Waalwijk,Defender,8550000.0,68.16,61.5,52.39,66.43,59.68,85.03
158,Youri Baas,19,Eredivisie,NEC Nijmegen,Defender,8550000.0,34.58,9.02,23.67,16.2,39.29,59.17
159,Morten Hjulmand,23,Serie A,US Lecce,midfield,8500000.0,80.07,76.81,63.15,81.21,70.72,91.53
160,Naouirou Ahamada,20,Premier League,Crystal Palace,midfield,8500000.0,43.26,43.5,40.65,43.73,30.03,45.15
161,Amine Adli,22,Bundesliga,Bayer 04 Leverkusen,Attack,8000000.0,65.12,65.13,59.02,69.16,34.24,67.18
162,Nicola Zalewski,20,Serie A,AS Roma,midfield,8000000.0,76.12,76.31,64.42,79.54,49.84,84.22
163,Samuele Ricci,20,Serie A,Torino FC,midfield,8000000.0,65.14,66.53,51.25,65.0,57.54,71.5
164,Nicolo Rovella,20,Serie A,Juventus FC,midfield,8000000.0,59.81,57.15,54.35,61.46,40.07,66.26
165,Jose Fontan,22,La Liga,Celta de Vigo,Defender,8000000.0,70.16,41.96,75.0,43.97,88.0,73.64
166,Aleksandar Mitrovic,27,Premier League,Fulham FC,Attack,8000000.0,58.47,62.15,49.12,61.33,33.16,61.27
167,Issa Diop,25,Premier League,Fulham FC,Defender,8000000.0,79.84,56.76,83.24,49.48,96.24,83.12
168,Nathan Patterson,20,Premier League,Everton FC,Defender,8000000.0,66.45,32.52,73.13,39.34,83.13,70.21
169,Vedat Muriqi,28,La Liga,RCD Mallorca,Attack,8000000.0,78.99,87.15,58.76,80.62,43.05,89.4
170,Rico Henry,25,Premier League,Brentford FC,Defender,8000000.0,80.13,65.05,69.83,76.36,79.83,94.52
171,Jeremy Doku,20,Ligue 1,Stade Rennais FC,Attack,8000000.0,77.96,76.11,76.8,86.16,44.48,72.78
172,Harrison Reed,27,Premier League,Fulham FC,midfield,8000000.0,85.06,89.29,69.31,87.74,51.38,93.91
173,Galeno,24,Primeira Liga,FC Porto,Attack,8000000.0,77.67,75.12,73.97,82.94,48.12,78.64
174,Fredrik Aursnes,26,Primeira Liga,SL Benfica,midfield,8000000.0,67.15,66.13,61.72,68.95,57.75,71.8
175,Manuel Akanji,27,Premier League,Manchester City,Defender,8000000.0,75.04,50.58,69.04,58.61,79.04,93.47
176,Noussair Mazraoui,24,Bundesliga,Bayern Munich,Defender,8000000.0,78.32,37.98,81.76,43.19,94.76,93.56
177,Vangelis Pavlidis,23,Eredivisie,AZ Alkmaar,Attack,8000000.0,63.29,66.37,58.23,65.54,33.01,63.03
178,Josip Stanisic,22,Bundesliga,Bayern Munich,Defender,8000000.0,71.34,23.45,80.51,30.55,93.51,80.78
179,Joe Worrall,25,Premier League,Nottingham Forest,Defender,8000000.0,74.17,58.11,74.75,60.12,84.75,77.06
180,Diogo Leite,23,Bundesliga,1.FC Union Berlin,Defender,8000000.0,74.87,48.7,66.17,56.79,83.67,92.84
181,Youssouf Ndayishimiye,23,Ligue 1,OGC Nice,Defender,8000000.0,35.93,22.23,22.35,21.68,28.73,70.4
182,Oguzhan Ozyakup,29,Eredivisie,Fortuna Sittard,midfield,8000000.0,54.57,61.82,47.82,52.94,33.31,55.71
183,Aiman Maurer,17,Ligue 1,Clermont Foot 63,midfield,7900000.0,25.02,21.06,29.29,26.51,12.99,23.23
184,Elliot Anderson,19,Premier League,Newcastle United,midfield,7800000.0,56.06,47.59,63.16,59.2,33.0,54.27
185,Julian Baas,20,Eredivisie,Excelsior Rotterdam,midfield,7650000.0,75.67,79.36,62.1,77.31,49.68,83.93
186,Nicolas Pallois,34,Ligue 1,FC Nantes,Defender,7500000.0,67.17,49.76,40.76,51.7,78.11,89.1
187,Kenneth Taylor,20,Eredivisie,Ajax Amsterdam,midfield,7500000.0,75.83,80.16,63.87,77.54,60.32,81.74
188,Aleix Garcia,25,La Liga,Girona FC,midfield,7500000.0,74.93,67.77,75.93,79.08,47.29,76.93
189,Kik Pierie,22,Eredivisie,Excelsior Rotterdam,Defender,7500000.0,31.07,19.65,18.4,15.04,24.61,61.6
190,Moussa Diarra,21,Ligue 1,FC Toulouse,Defender,7400000.0,51.46,39.68,41.45,47.56,39.32,77.14
191,Magnus Mattsson,23,Eredivisie,NEC Nijmegen,Attack,7350000.0,61.19,61.18,55.49,64.27,45.55,63.82
192,Calvin Verdonk,25,Eredivisie,NEC Nijmegen,Defender,7300000.0,50.88,28.92,40.22,38.49,36.4,88.4
193,Tijjani Noslin,23,Eredivisie,Fortuna Sittard,Attack,7250000.0,73.71,75.46,61.78,78.77,54.1,78.85
194,Maxime Gonalons,33,Ligue 1,Clermont Foot 63,midfield,7200000.0,59.33,62.92,44.34,57.38,52.84,64.16
195,Isac Lidberg,23,Eredivisie,Go Ahead Eagles,Attack,7100000.0,75.48,78.63,61.06,79.61,41.69,82.63
196,Youssouf Fofana,23,Ligue 1,AS Monaco,midfield,7000000.0,82.95,82.05,67.31,85.71,69.54,94.5
197,Antonee Robinson,24,Premier League,Fulham FC,Defender,7000000.0,82.42,61.32,82.73,73.55,82.73,90.66
198,Seko Fofana,27,Ligue 1,RC Lens,midfield,7000000.0,81.5,81.92,69.51,85.96,49.73,88.59
199,Johan Bakayoko,19,Eredivisie,PSV Eindhoven,Attack,7000000.0,61.33,57.17,63.95,65.48,33.44,58.71
200,Ismael Bennacer,24,Serie A,AC Milan,midfield,7000000.0,69.41,67.93,66.33,70.25,63.75,73.13
201,Vaclav Cerny,24,Bundesliga,VfL Wolfsburg,Attack,7000000.0,82.83,79.51,83.55,86.76,44.11,81.52
202,Aaron Hickey,20,Premier League,Brentford FC,Defender,7000000.0,67.51,45.17,60.07,53.0,70.07,86.9
203,Brais Mendez,25,La Liga,Real Sociedad,midfield,7000000.0,82.26,82.97,73.85,85.21,53.42,87.0
204,Marc Cucurella,24,Premier League,Chelsea FC,Defender,7000000.0,70.15,41.48,69.07,50.01,79.07,82.46
205,Stephen Eustaquio,25,Primeira Liga,FC Porto,midfield,7000000.0,70.34,67.82,64.81,72.19,62.44,76.53
206,Vitaliy Mykolenko,23,Premier League,Everton FC,Defender,7000000.0,78.37,59.61,73.17,70.33,83.17,86.8
207,Bafode Diakite,21,Ligue 1,LOSC Lille,Defender,7000000.0,70.68,64.65,56.8,67.48,65.65,84.94
208,Federico Gatti,24,Serie A,Juventus FC,Defender,7000000.0,71.06,30.91,71.87,36.85,84.87,90.65
209,Exequiel Palacios,23,Bundesliga,Bayer 04 Leverkusen,midfield,7000000.0,62.21,58.21,54.55,61.28,64.04,65.3
210,Jurrien Timber,21,Eredivisie,Ajax Amsterdam,Defender,7000000.0,70.78,62.82,62.21,71.39,61.92,86.68
211,Nico Schlotterbeck,22,Bundesliga,Borussia Dortmund,Defender,7000000.0,76.85,58.25,77.84,58.4,77.84,93.33
212,Roger Ibanez,23,Serie A,AS Roma,Defender,7000000.0,73.9,62.37,71.03,66.81,71.03,86.73
213,Goncalo Inacio,20,Primeira Liga,Sporting CP,Defender,7000000.0,69.3,60.76,62.58,69.55,58.53,84.32
214,Ryan Yates,24,Premier League,Nottingham Forest,midfield,7000000.0,57.56,56.63,45.3,59.41,47.87,66.32
215,Giacomo Raspadori,22,Serie A,SSC Napoli,Attack,7000000.0,61.71,57.93,62.23,64.68,33.09,62.0
216,Arthur Theate,22,Ligue 1,Stade Rennais FC,Defender,7000000.0,70.71,67.24,56.22,70.44,55.36,88.92
217,Jon Pacheco,21,La Liga,Real Sociedad,Defender,7000000.0,66.51,28.86,66.17,33.27,79.17,87.43
218,Jarrad Branthwaite,20,Premier League,Everton FC,Defender,7000000.0,80.37,51.72,83.12,54.34,96.12,87.9
219,Zakaria Aboukhlal,22,Ligue 1,FC Toulouse,Attack,7000000.0,86.22,89.43,71.14,90.33,50.03,93.96
220,Anastasios Douvikas,22,Eredivisie,FC Utrecht,Attack,7000000.0,75.14,84.58,58.42,77.05,43.02,80.5
221,Abel Ruiz,22,Primeira Liga,SC Braga,Attack,7000000.0,79.97,84.23,66.2,83.79,42.47,85.65
222,Conor Gallagher,22,Premier League,Chelsea FC,midfield,7000000.0,81.35,82.97,67.75,84.06,46.15,90.62
223,Sergio Camello,21,La Liga,Atlético de Madrid,Attack,7000000.0,85.83,88.78,68.74,90.61,47.05,95.17
224,Joao Victor,24,Primeira Liga,SL Benfica,Defender,6900000.0,43.34,21.64,25.93,26.78,40.56,80.08
225,Anthony Musaba,21,Ligue 1,AS Monaco,Attack,6800000.0,41.11,39.11,44.13,42.61,21.0,38.61
